ID	Isolate
100165	ETEC_1
100227	ETEC_1
100506	ETEC_1
100616	ETEC_1
100691	ETEC_3
100798	ETEC_1
100802	ETEC_1
100840	ETEC_2
102110	ETEC_3
102165	ETEC_2
102170	ETEC_2
102399	ETEC_1
102578	ETEC_3
102629	ETEC_3
102801	ETEC_1
102814	ETEC_1
102892	ETEC_1
102915	ETEC_1
102971	ETEC_1
102972	ETEC_1
103030	ETEC_1
103033	ETEC_1
103324	ETEC_2
103403	ETEC_1
103519	ETEC - 1
103520	ETEC - 1
103539	ETEC - 1
200203	ETEC_2
200343	ETEC_2
200344	ETEC_2
200345	ETEC_2
200904	ETEC_1
201012	ETEC_2
201291	ETEC_1
201469	ETEC_2
202667	ETEC_2
202756	ETEC_1
202917	ETEC_3
202982	ETEC_3
203010	ETEC_1
203048	ETEC_1
203068	ETEC_3
203073	ETEC_1
203083	ETEC_2
203377	ETEC_1
203686	ETEC_1
203961	ETEC_1
204329	ETEC_2
204407	ETEC_3
204513	ETEC_1
204521	ETEC_1
204687	ETEC_1
300191	ETEC_3
300346	ETEC_1
300392	ETEC_1
300402	ETEC_1
300497	ETEC_1
300850	ETEC_1
300910	ETEC_1
300926	ETEC_1
302249	ETEC_1
302266	ETEC_3
302269	ETEC_1
302310	ETEC_2
302419	ETEC_2
302574	ETEC_2
302616	ETEC_1
302629	ETEC_1
302846	ETEC_1
302950	ETEC_1
303020	ETEC_1
303044	ETEC_1
303254	ETEC_1
303296	ETEC_1
400655	ETEC_1
400798	ETEC_1
400819	ETEC_1
400964	ETEC_1
401061	ETEC_1
401070	ETEC_1
401159	ETEC_1
401265	ETEC_1
401413	ETEC_1
401570	ETEC_1
401600	ETEC_1
401945	ETEC_1
402049	ETEC_1
402976	ETEC_2
402985	ETEC_1
403180	ETEC_1
403273	ETEC_2
403590	ETEC_3
403657	ETEC_1
403660	ETEC_1
403708	ETEC_1
403739	ETEC_3
403769	ETEC_1
403808	ETEC_2
403855	ETEC_1
403925	ETEC_1
500745	ETEC_1
500951	ETEC_2
503111	ETEC_2
503112	ETEC_1
503327	ETEC_2
503391	ETEC_2
503574	ETEC_3
503711	ETEC_1
503940	ETEC_2
503945	ETEC_2
504110	ETEC_1
504152	ETEC_1
504169	ETEC_1
504848	ETEC_1
505368	ETEC_3
505377	ETEC_3
505759	ETEC_1
505966	ETEC_1
600022	ETEC_1
600451	ETEC_1
600467	ETEC_1
600478	ETEC_2
600485	ETEC_1
600494	ETEC_1
600628	ETEC_1
600698	ETEC_3
600809	ETEC_3
600953	ETEC_1
600962	ETEC_1
602034	ETEC_1
602224	ETEC_3
602326	ETEC_1
603009	ETEC_1
603031	ETEC_2
603036	ETEC_3
603060	ETEC_2
603762	ETEC_1
603767	ETEC_3
603837	ETEC_1
604063	ETEC_3
604077	ETEC_1
604284	ETEC_1
604342	ETEC_1
604488	ETEC_1
700039	ETEC_1
700195	ETEC_1
700202	ETEC_1
700221	ETEC_2
700653	ETEC_2
700675	ETEC_3
700824	ETEC_3
700874	ETEC_1
702097	ETEC_1
702109	ETEC_1
702126	ETEC_3
702127	ETEC_1
702195	ETEC_2
702301	ETEC_1
702404	ETEC_1
702507	ETEC_2
702536	ETEC_1
702676	ETEC_1
702734	ETEC_1
703136	ETEC_1
703795	ETEC_1
703874	ETEC_1
703948	ETEC_1
704074	ETEC_1
704163	ETEC_1
704180	ETEC_1
704204	ETEC_1
