ID	Isolate
100171	ETEC_1
100214	ETEC_2
100535	ETEC_2
100546	ETEC_1
100568	ETEC_1
100606	ETEC_1
100614	ETEC_1
100630	ETEC_1
102326	ETEC_2
102520	ETEC_3
102559	ETEC_2
102671	ETEC_2
102683	ETEC_1
102685	ETEC_1
102686	ETEC_2
103143	ETEC_3
103397	ETEC_1
103472	ETEC_1
103485	ETEC_2
103507	ETEC_1
103533	ETEC_1
103540	ETEC_1
103558	ETEC_1
103572	ETEC_1
103596	ETEC_1
103597	ETEC_1
103607	ETEC_1
103630	ETEC - 3
103633	ETEC_1
103634	ETEC_1
103676	ETEC_1
200034	ETEC_1
200218	ETEC_3
200594	ETEC_2
200695	ETEC_3
200717	ETEC_3
200791	ETEC_1
201151	ETEC_3
201173	ETEC_2
202068	ETEC_2
202222	ETEC_1
202624	ETEC_2
202656	ETEC_3
202755	ETEC_2
203039	ETEC_3
203445	ETEC_3
203642	ETEC_1
204069	ETEC_1
204171	ETEC_1
204538	ETEC_2
300900	ETEC_1
302316	ETEC_1
302317	ETEC_3
302340	ETEC_1
302489	ETEC_2
302490	ETEC_1
302940	ETEC_1
302949	ETEC_1
302975	ETEC_1
302979	ETEC_1
302981	ETEC_2
303036	ETEC_1
400650	ETEC_2
400693	ETEC_1
400739	ETEC_1
400757	ETEC_1
400760	ETEC_1
401064	ETEC_1
401102	ETEC_1
401285	ETEC_2
401488	ETEC_1
401597	ETEC_2
401616	ETEC_3
401655	ETEC_1
401673	ETEC_1
401826	ETEC_1
401846	ETEC_1
401893	ETEC_2
401897	ETEC_3
401908	ETEC_2
402295	ETEC_3
402421	ETEC_1
402460	ETEC_3
402498	ETEC_1
402771	ETEC_1
402783	ETEC_1
403039	ETEC_3
403186	ETEC_1
403320	ETEC_2
403669	ETEC_2
403722	ETEC_1
403824	ETEC_2
403970	ETEC_1
500535	ETEC_1
500570	ETEC_2
500757	ETEC_2
500950	ETEC_2
503079	ETEC_1
503190	ETEC_2
503270	ETEC_1
503728	ETEC_1
503792	ETEC_3
503936	ETEC_1
503975	ETEC_2
504117	ETEC_1
504155	ETEC_3
504580	ETEC_1
504904	ETEC_1
504948	ETEC_1
504957	ETEC_2
505972	ETEC_1
600298	ETEC_2
600548	ETEC_3
600820	ETEC_3
602715	ETEC_2
602783	ETEC_2
602838	ETEC_2
602840	ETEC_2
603173	ETEC_2
603799	ETEC_1
604048	ETEC_3
700040	ETEC_2
700285	ETEC_3
700300	ETEC_1
700371	ETEC_1
700609	ETEC_1
700929	ETEC_1
702047	ETEC_3
702106	ETEC_1
702190	ETEC_1
702247	ETEC_1
702254	ETEC_1
702473	ETEC_1
702596	ETEC_1
703196	ETEC_3
703482	ETEC_1
703484	ETEC_1
703560	ETEC_1
703601	ETEC_1
703760	ETEC_1
703776	ETEC_1
703852	ETEC_3
703928	ETEC_2
704015	ETEC_1
704053	ETEC_3
